id,web_name,full_name,team,team_short,pos,price,selected_by_percent,status,chance_next,news,total_points,form,points_per_game,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,defensive_contribution,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,ep_this,ep_next,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,penalties_order,corners_order,freekicks_order
411,Haaland,Erling Haaland,Man City,MCI,FWD,15.5,72.4,a,,,33,8.2,8.2,360,4,4,0,2,2,0,0,0,9,142,18,3.33,0.51,3.84,3.68,155.6,20.5,201.0,37.7,8.2,8.2,0,0,95881,15866,1,,
426,B.Fernandes,Bruno Borges Fernandes,Man Utd,MUN,MID,12.0,41.6,a,,,29,7.2,7.2,360,4,3,1,0,7,0,0,0,3,133,23,2.28,1.13,3.41,5.18,173.0,182.9,104.0,46.0,7.2,7.2,0,0,40697,160704,1,1,1
154,Palmer,Cole Palmer,Chelsea,CHE,MID,9.7,26.8,a,100,,26,6.5,6.5,352,4,2,2,0,9,1,0,0,3,127,23,1.18,0.61,1.79,6.08,131.6,120.0,124.0,37.6,6.5,6.5,0,2,93391,87102,1,,2
12,Saka,Bukayo Saka,Arsenal,ARS,MID,9.5,12.2,a,,,30,7.5,7.5,336,4,3,0,3,1,0,0,0,4,123,29,2.88,0.43,3.31,2.58,139.8,78.8,204.0,42.2,7.5,7.5,0,0,101860,31836,1,2,2
379,Isak,Alexander Isak,Liverpool,LIV,FWD,9.1,22.0,a,,,25,6.2,6.2,333,4,3,0,2,4,0,0,0,5,102,6,2.79,0.06,2.85,5.16,113.6,34.1,176.0,32.3,6.2,6.2,0,1,61175,135165,2,,
397,Semenyo,Antoine Semenyo,Man City,MCI,MID,8.4,15.4,a,,,16,4.0,4.0,360,4,0,2,2,2,0,0,0,0,82,15,0.17,0.99,1.16,3.68,59.8,113.9,88.0,26.2,4.0,4.0,0,-1,17618,92465,2,,
627,Barcola,Bradley Barcola,Liverpool,LIV,MID,8.0,2.0,a,,,4,2.0,2.0,97,1,0,0,1,0,0,0,0,0,14,5,0.21,0.10,0.31,0.77,8.6,24.1,10.0,4.3,2.0,2.0,0,0,15359,26263,,,
4,Gabriel,Gabriel dos Santos Magalhães,Arsenal,ARS,DEF,8.0,23.4,a,,,24,6.0,6.0,360,4,0,0,3,1,2,0,0,2,84,32,0.51,0.06,0.57,2.72,69.0,8.9,84.0,16.1,6.0,6.0,0,0,26747,62021,,,
480,Gibbs-White,Morgan Gibbs-White,Nott'm Forest,NFO,MID,8.0,12.3,a,100,,26,6.5,6.5,360,4,1,2,1,4,0,0,0,6,91,19,1.56,1.02,2.58,4.10,101.0,123.3,72.0,29.6,6.5,6.5,1,0,290357,19027,1,,1
428,Cunha,Matheus Santos Carneiro da Cunha,Man Utd,MUN,MID,7.9,6.1,a,,,16,4.0,4.0,317,4,0,2,1,4,0,0,0,1,63,10,0.58,0.44,1.02,3.82,30.6,76.3,88.0,19.6,4.0,4.0,0,-1,7156,46397,,,
427,Mbeumo,Bryan Mbeumo,Man Utd,MUN,MID,7.9,22.7,a,,,23,5.8,5.8,360,4,2,1,0,7,1,0,0,3,87,22,2.80,0.55,3.35,5.18,106.2,117.9,126.0,35.1,5.8,5.8,0,-1,49879,134842,2,2,2
106,Thiago,Igor Thiago Nascimento Rodrigues,Brentford,BRE,FWD,7.9,9.5,a,,,5,1.2,1.2,352,4,0,0,1,4,1,0,0,0,11,16,2.41,0.13,2.54,5.42,20.6,27.6,116.0,16.2,1.2,1.2,0,-1,6312,124867,1,,
399,Cherki,Rayan Cherki,Man City,MCI,MID,7.8,28.4,a,,,26,6.5,6.5,218,3,2,2,1,1,1,0,0,4,115,7,0.59,1.41,2.00,1.82,123.0,155.4,81.0,36.0,6.5,6.5,0,3,77901,166619,,1,1
